"Index","Description","Group 1","Value Column Name","Value"
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Dec 26 2020 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Sep 26 2020 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Dec 28 2019 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Year Ended","Dec 26 2020 Year End",
"5","Enterprise, Embedded and Semi-Custom","Year Ended","Dec 28 2019 Year End",
"8","All Other","Three Months Ended","Dec 26 2020 (3Months)",
"8","All Other","Three Months Ended","Sep 26 2020 (3Months)",
"8","All Other","Three Months Ended","Dec 28 2019 (3Months)",
"8","All Other","Year Ended","Dec 26 2020 Year End",
"8","All Other","Year Ended","Dec 28 2019 Year End",
"11","Total","Three Months Ended","Dec 26 2020 (3Months)",
"11","Total","Three Months Ended","Sep 26 2020 (3Months)",
"11","Total","Three Months Ended","Dec 28 2019 (3Months)",
"11","Total","Year Ended","Dec 26 2020 Year End",
"11","Total","Year Ended","Dec 28 2019 Year End",
"14","","Three Months Ended","Dec 26 2020 (3Months)",
"14","","Three Months Ended","Sep 26 2020 (3Months)",
"14","","Three Months Ended","Dec 28 2019 (3Months)",
"14","","Year Ended","Dec 26 2020 Year End",
"14","","Year Ended","Dec 28 2019 Year End",
"15","","Three Months Ended","Dec 26 2020 (3Months)",
"15","","Three Months Ended","Sep 26 2020 (3Months)",
"15","","Three Months Ended","Dec 28 2019 (3Months)",
"15","","Year Ended","Dec 26 2020 Year End",
"15","","Year Ended","Dec 28 2019 Year End",
"16","Other Data","Three Months Ended","Dec 26 2020 (3Months)",
"16","Other Data","Three Months Ended","Sep 26 2020 (3Months)",
"16","Other Data","Three Months Ended","Dec 28 2019 (3Months)",
"16","Other Data","Year Ended","Dec 26 2020 Year End",
"16","Other Data","Year Ended","Dec 28 2019 Year End",
"10","Operating loss","Three Months Ended","Dec 26 2020 (3Months)","-93"
"10","Operating loss","Three Months Ended","Sep 26 2020 (3Months)","-76"
"10","Operating loss","Three Months Ended","Dec 28 2019 (3Months)","-57"
"10","Operating loss","Year Ended","Dec 26 2020 Year End","-288"
"10","Operating loss","Year Ended","Dec 28 2019 Year End","-209"
